Number of epochs,Repair level,Batch size,Learning rate,Clipping Norm,Noise multiplier,Classification error,Privacy budget,Fairness before,Fairness after
63,0.0,32,0.01,2.0,2.333333333333333,0.14673046251993616,0.6466550377397472,0.13181498648217965,0.029312093989254127
63,0.0,32,0.01,2.0,3.6666666666666665,0.14513556618819778,0.38317709161573044,0.13181498648217965,0.026866682243918055
63,0.0,32,0.01,2.0,5.0,0.1454545454545455,0.2707548725606357,0.13181498648217965,0.042265308434103165
95,0.0,32,0.01,2.0,1.0,0.14385964912280702,2.6539345687664406,0.13181498648217965,0.0406248209613745
95,0.0,32,0.01,2.0,2.333333333333333,0.14513556618819778,0.8094686455454382,0.13181498648217965,0.04435876869270337
95,0.0,32,0.01,2.0,3.6666666666666665,0.14896331738436996,0.4792809179355021,0.13181498648217965,0.0579400971620467
95,0.0,32,0.01,2.0,5.0,0.15502392344497606,0.3386302422943235,0.13181498648217965,0.01879195841866464
128,0.0,32,0.01,2.0,1.0,0.14098883572567789,3.142251176174475,0.13181498648217965,0.044597820247604454
128,0.0,32,0.01,2.0,2.333333333333333,0.1454545454545455,0.9531464113349591,0.13181498648217965,0.041286825971022435
128,0.0,32,0.01,2.0,3.6666666666666665,0.15470494417862835,0.5638944978336531,0.13181498648217965,0.04982798322726136
128,0.0,32,0.01,2.0,5.0,0.15502392344497606,0.39833649422796635,0.13181498648217965,0.06282155096125552
30,0.3333333333333333,32,0.01,0.1,1.0,0.1636363636363637,1.395005728087353,0.13181498648217965,0.0
30,0.3333333333333333,32,0.01,0.1,2.333333333333333,0.1636363636363637,0.4314595555050427,0.13181498648217965,0.0
30,0.3333333333333333,32,0.01,0.1,3.6666666666666665,0.1636363636363637,0.2558052681764029,0.13181498648217965,0.0
30,0.3333333333333333,32,0.01,0.1,5.0,0.1636363636363637,0.1807069593821481,0.13181498648217965,0.0
63,0.3333333333333333,32,0.01,0.1,1.0,0.1636363636363637,2.1070501409453377,0.13181498648217965,0.0
63,0.3333333333333333,32,0.01,0.1,2.333333333333333,0.1636363636363637,0.6466550377397472,0.13181498648217965,0.0
63,0.3333333333333333,32,0.01,0.1,3.6666666666666665,0.1636363636363637,0.38317709161573044,0.13181498648217965,0.0
63,0.3333333333333333,32,0.01,0.1,5.0,0.1636363636363637,0.2707548725606357,0.13181498648217965,0.0
95,0.3333333333333333,32,0.01,0.1,1.0,0.1636363636363637,2.6539345687664406,0.13181498648217965,0.0
95,0.3333333333333333,32,0.01,0.1,2.333333333333333,0.1636363636363637,0.8094686455454382,0.13181498648217965,0.0
95,0.3333333333333333,32,0.01,0.1,3.6666666666666665,0.1636363636363637,0.4792809179355021,0.13181498648217965,0.0
95,0.3333333333333333,32,0.01,0.1,5.0,0.1636363636363637,0.3386302422943235,0.13181498648217965,0.0
128,0.3333333333333333,32,0.01,0.1,1.0,0.1636363636363637,3.142251176174475,0.13181498648217965,0.0
128,0.3333333333333333,32,0.01,0.1,2.333333333333333,0.1636363636363637,0.9531464113349591,0.13181498648217965,0.0
128,0.3333333333333333,32,0.01,0.1,3.6666666666666665,0.1636363636363637,0.5638944978336531,0.13181498648217965,0.0
128,0.3333333333333333,32,0.01,0.1,5.0,0.1636363636363637,0.39833649422796635,0.13181498648217965,0.0
30,0.3333333333333333,32,0.01,0.7333333333333333,1.0,0.1636363636363637,1.395005728087353,0.13181498648217965,0.0
30,0.3333333333333333,32,0.01,0.7333333333333333,2.333333333333333,0.1636363636363637,0.4314595555050427,0.13181498648217965,0.0
30,0.3333333333333333,32,0.01,0.7333333333333333,3.6666666666666665,0.1636363636363637,0.2558052681764029,0.13181498648217965,0.0
30,0.3333333333333333,32,0.01,0.7333333333333333,5.0,0.1636363636363637,0.1807069593821481,0.13181498648217965,0.0
63,0.3333333333333333,32,0.01,0.7333333333333333,1.0,0.1636363636363637,2.1070501409453377,0.13181498648217965,0.0
63,0.3333333333333333,32,0.01,0.7333333333333333,2.333333333333333,0.16299840510366825,0.6466550377397472,0.13181498648217965,0.0014887584044663755
63,0.3333333333333333,32,0.01,0.7333333333333333,3.6666666666666665,0.1636363636363637,0.38317709161573044,0.13181498648217965,0.0
