Number of epochs,Repair level,Batch size,Learning rate,Clipping Norm,Noise multiplier,Classification error,Privacy budget,Fairness before,Fairness after
128,0.3333333333333333,32,0.01,1.3666666666666667,3.6666666666666665,0.1781144436482751,0.30349207643104265,0.1793872207671221,0.053520444913165106
128,0.3333333333333333,32,0.01,1.3666666666666667,5.0,0.20360323472208008,0.214430532790064,0.1793872207671221,0.07496466595356846
30,0.3333333333333333,32,0.01,2.0,1.0,0.17801207902548877,0.7469186303720139,0.1793872207671221,0.0528062041420424
30,0.3333333333333333,32,0.01,2.0,2.333333333333333,0.18732725969904795,0.2322663606463094,0.1793872207671221,0.0943768388964696
30,0.3333333333333333,32,0.01,2.0,3.6666666666666665,0.18661070733954344,0.13759848022257684,0.1793872207671221,0.062381284647321594
30,0.3333333333333333,32,0.01,2.0,5.0,0.19336677244344358,0.09708006680802381,0.1793872207671221,0.05151361194248509
63,0.3333333333333333,32,0.01,2.0,1.0,0.18169720544579793,1.121954401612854,0.1793872207671221,0.04890828361523876
63,0.3333333333333333,32,0.01,2.0,2.333333333333333,0.1847681441293889,0.3479269078496843,0.1793872207671221,0.06526604541352338
63,0.3333333333333333,32,0.01,2.0,3.6666666666666665,0.19643771112703445,0.20626494064071954,0.1793872207671221,0.033648389377904785
63,0.3333333333333333,32,0.01,2.0,5.0,0.19725662810932543,0.1456623940874506,0.1793872207671221,0.05607848900817684
95,0.3333333333333333,32,0.01,2.0,1.0,0.1758624219469751,1.4071629267201915,0.1793872207671221,0.0715203829318478
95,0.3333333333333333,32,0.01,2.0,2.333333333333333,0.19193366772443443,0.43516547808691963,0.1793872207671221,0.045240820895592476
95,0.3333333333333333,32,0.01,2.0,3.6666666666666665,0.18691780120790258,0.25800193692585094,0.1793872207671221,0.05697303906607304
95,0.3333333333333333,32,0.01,2.0,5.0,0.18046882997236158,0.1822606549042463,0.1793872207671221,0.07312865724988896
128,0.3333333333333333,32,0.01,2.0,1.0,0.1800593714812161,1.659886662207223,0.1793872207671221,0.055569631784019524
128,0.3333333333333333,32,0.01,2.0,2.333333333333333,0.17555532807861607,0.5119511814124572,0.1793872207671221,0.05105711014925289
128,0.3333333333333333,32,0.01,2.0,3.6666666666666665,0.2005322960384891,0.30349207643104265,0.1793872207671221,0.04373777395037926
128,0.3333333333333333,32,0.01,2.0,5.0,0.1912171153649299,0.214430532790064,0.1793872207671221,0.04740913398013029
30,0.6666666666666666,32,0.01,0.1,1.0,0.1781144436482751,0.7469186303720139,0.1793872207671221,0.05306953082960115
30,0.6666666666666666,32,0.01,0.1,2.333333333333333,0.18405159176988428,0.2322663606463094,0.1793872207671221,0.046398181130069674
30,0.6666666666666666,32,0.01,0.1,3.6666666666666665,0.1834374040331661,0.13759848022257684,0.1793872207671221,0.04592388318587728
30,0.6666666666666666,32,0.01,0.1,5.0,0.1887603644180571,0.09708006680802381,0.1793872207671221,0.05546778521031856
63,0.6666666666666666,32,0.01,0.1,1.0,0.1736104002456751,1.121954401612854,0.1793872207671221,0.06748554004040057
63,0.6666666666666666,32,0.01,0.1,2.333333333333333,0.18046882997236158,0.3479269078496843,0.1793872207671221,0.04716919115319998
63,0.6666666666666666,32,0.01,0.1,3.6666666666666665,0.1853823318661071,0.20626494064071954,0.1793872207671221,0.05342301216054664
63,0.6666666666666666,32,0.01,0.1,5.0,0.18589415498003892,0.1456623940874506,0.1793872207671221,0.04363033966701006
95,0.6666666666666666,32,0.01,0.1,1.0,0.1798546422356434,1.4071629267201915,0.1793872207671221,0.04473313756002093
95,0.6666666666666666,32,0.01,0.1,2.333333333333333,0.19377623093458896,0.43516547808691963,0.1793872207671221,0.06345797525818506
95,0.6666666666666666,32,0.01,0.1,3.6666666666666665,0.1838468625243116,0.25800193692585094,0.1793872207671221,0.06146659066129369
95,0.6666666666666666,32,0.01,0.1,5.0,0.2094380182209029,0.1822606549042463,0.1793872207671221,0.01855269867594759
